Hash,Time,BTC,USD
c4b58c20bd180fb7c474c057c6933e3214f05e3adebc551b115f42aa0438c2d7,16:35,0.16918456 , 7202.14
66a8851f3edc11b9baa6f14f5b482008f568ce4b95ca5f264dcaa9c516043f96,16:35,0.00246469 , 104.92
eea77e34972887785b10e2019f443599e4c2b753996cdd6f4f8c4e772d798188,16:35,20.50053126 , 872702.08
9217c4236f02ec5e8cf5f4b98433422f0811a185b9fe845418b303ca132b02b6,16:34,0.01305208 , 555.62
2b63a76756db84774f92c793a1d3a42faab0302a3e54f617e276b91eca67c346,16:34,0.00224596 , 95.61
f6fe30f44666740761cd03bd7fda14d3a6bca2d651220e78921f73f743be2a24,16:34,0.00020000 , 8.51
1598c0b5945c485566b26dbd9d4739b4cfac37c5e222557b7d93d296d0b66163,16:34,0.00303347 , 129.13
de52a621d15ee30796bd579932e56b5d34cf0f9f6680f6f5f016f9405a6d7749,16:34,0.06476675 , 2757.10
a53a8f0961b9ff6d578167fe32bfdd7ea2e1a77660fa943fe3e85f0071796113,16:34,0.00280340 , 119.34
6fcba2f316bc70494fe8fd2393679ff40859f432081a9e1f198886acaa5a9408,16:34,0.24107006 , 10262.29
5f89ad7157937d64893a52c8dcb451547a9d09cac9b0311f98475c5dc833f8fd,16:34,0.01797203 , 765.06
192dd21e861604409bd38b0c7996c0ceb22cb4a4d834b1ea86e274bc0e1d11bb,16:34,0.00111257 , 47.36
a5b64f134193ea57ff077a74b662ee4b703fb11f380f2468ed2f72a45ff544ae,16:34,0.02107741 , 897.26
83f1120499465c916bbb727838bf986dc06325acc3254db098efd0dca8d58a95,16:34,0.02584379 , 1100.16
a4b8cac312b332c280c8f7e9d7c4db2459056b04a95a32da53b29230ece51d7e,16:34,0.00251892 , 107.23
4e889e0c7edc9dedf156ab60affdf8f66737e55633f156f20936357bcfbf36bb,16:34,0.00603147 , 256.76
361c689713ab4d8567f562c50cc837789377bc9cbf7abb162eb40ffdf9d5d4b9,16:34,0.00201852 , 85.93
679753d95bfb12120c33d37154a1cb20d673fc81f6138969280b032cdc8615d0,16:34,0.00042074 , 17.91
5c129dcc7b02977cfab249a932b1c9e2758b78a9f023683b8396f8b8728659a2,16:34,0.97269858 , 41407.52
cbbcda7cd6d0b084ccc00bc9191939c21ac895171c76f0a7d68059d30e018b4c,16:34,0.09714600 , 4135.48
94b36191912a0779c52d2ef276f7cc5acf4a61f633c0eb9aa48053d0aebaeec6,16:34,0.49572687 , 21102.96
50c004997db8b887fc3e326aed617db63a9b937815b3fedc37e92327afc1abc5,16:34,0.15877761 , 6759.12
e07d08642a9309f7c3d6552b8f4832f930c0e428fa20aaf85a5ba36e200d6dae,16:34,0.00349319 , 148.70
fd29a969b4ce81a0a1e395db7ce034199a1e8b78a8bd6aa4bb301d39f5820d6e,16:34,0.18970056 , 8075.50
6ea5abd6950ec22fcb33afb85739b4efa6efca0fec50c9d8862220a2ce896c47,16:34,0.00180813 , 76.97
54dbfa03475a57cd75e3bcb1923d6f9891766105c931aa0f277c2e08b3f31522,16:34,0.18366634 , 7818.63
d6d581af32deb45ff1a373c10f5b69eb4915c38914917e0096d7d942ce5dd31a,16:34,0.00218754 , 93.12
f02ecdf659c9efcbed13832ae21e8aef6b81fca9f4370435cbbdb49535778d14,16:34,0.44535912 , 18958.82
71f9f6b0039a033c477f5de74fbdbc5b412d339618cb8d4b9a5d01aac300f702,16:34,0.00918985 , 391.21
78af1fdfcac67af2bb651673268d4e3e7a706192f31b812a66e340c7d8eacbca,16:34,0.00966615 , 411.49
97d2835740ca6ffaa536461310053597d2af1f3d04f90f735d034cefd05c6cb8,16:34,0.01249094 , 531.74
e2f80fc3dfafec8ed943d0540302e23f74bae432c443ddf364d4c45796400b73,16:34,0.11639063 , 4954.72
41d84a3aa0e15e68a5863fb83e01ba3d133f364d413a8465c37cce02d5f9ea4c,16:34,0.02356394 , 1003.11
69e5912ff20d85ec157eed185882116894b8048e3aa86f4e72221048397ee13c,16:34,0.29690064 , 12638.98
6ce65b869346223d257dc5bb4a41899fce202fac9c3b880dbbeb3d718d7cef2f,16:34,0.02621500 , 1115.97
d09476157eefd19076e582f6bc13c04713fe206101dacff5be946a55f17d5206,16:34,0.10364742 , 4412.24
3013e1f42c5ee4dddbba6e1182b2698530c777cc39007f125a72b14381db7773,16:34,0.00186888 , 79.56
abad9360abcb72675276ee60c378fbb258cc8e76835496ca72c747daa37bba78,16:34,0.00234964 , 100.02
0622232bb878d2ba4929e241773364fc1e8f3f3bb0fdfa5c06a5ba3ad2e08521,16:34,0.00512834 , 218.31
820f3a8203e2f5ca99f97bbec4440e3922cd8692eae77cd4f3b5a14af834ef9e,16:34,0.01165706 , 496.24
77a4a3ee6de7707b05e60a107b3d464a74ea73b682957cce9b19abe18f04fa77,16:34,676.58601491 , 28802083.98
165cd0c2c2ce5b4bfcdd93dce6f56519a5403a8876f873f19a70b56a381d8559,16:34,0.02087268 , 888.54
22a501af007e87b9607ab4a86c009a56d432ad72ce4b50ee3b5eea755da71942,16:34,0.01463000 , 622.80
8eabbcee8b240023e46beb4762ba21fd5ad4679250236be3ce6098e20ff82a3f,16:34,0.02143895 , 912.65
55aff34458e066980a8ad78d97f1b5b650cc4ee69aa5ed3e758c8c988b707af4,16:34,0.00999203 , 425.36
fdf81b108cbc036dee932d7e30252153c65748c6dd4786d3d183160bfa4df35b,16:34,0.01613990 , 687.07
8c0d93dbe2879b5dece3d2788efccf383d0da2610f361bcfb4ecd587c8743f34,16:34,0.02110381 , 898.38
1eea6a19199ed0ddc0f3969f539795baf4218bbe2810188a4d538a6af822de0d,16:34,0.51077628 , 21743.61
029b8fec01d8a13c26332a21b5c7c665c6cddc70830afff3887dc831bbec6993,16:34,0.00346144 , 147.35
